no,code,active,city,country,latitude,locationCode,locationName,longitude,postCode,state,street1,street2,street3,street4,street5
333,CC010333,true,,,-6.903975,5959710343692288-5660348975677440,Pak Sanjaya,107.600633333333,,,Jl. Dr. Rajiman,,,,
334,CC010334,true,,,-6.30430995952338,5204256265076736-5767206218498048,PT. Eljindo Kontruksi Abadi,106.845523780212,,,Jl. Nangka,,,,
335,CC010335,true,,,-6.34295776,5204840548401152-5144582157238272,Mall Indramayu,108.33534216,,,Jl. Gatot Subroto,,,,
336,CC010336,true,,,-6.89165,5072049319968768-4822720025985024,CV. Gilang Karya Persada,107.562268333333,,,Jl. Gunung Batu,,,,
337,CC010337,true,,,-6.15352833333333,4878719688638464-6286094572191744,PT Wika,106.242738333333,,,Jl. Tol Serang - Panimbang,,,,
338,CC010338,true,,,-6.87786201772205,5183105597964288-5746055551385600,Parahyangan Golf,107.440905440874,,,Pasir Kramat,,,,
339,CC010339,true,,,-6.29166222,6282911632326656-5157011725484032,PT. Jasa Marga Toll Road Maintenance,106.88060274,,,Jl. Taman Mini I,,,,
340,CC010340,true,,,-6.16798769216985,5740957525868544-5654293675769856,PT  Total Bangun Persada,106.741949021816,,,Jl. Pulau Tidung X,,,,
341,CC010341,true,,,-6.19089065585285,4906133860909056-6313508744462336,PT. Wijaya Kurnia Megah,106.758139925078,,,Jl. Pejuangan Raya,,,,
342,CC010342,true,,,-6.92286805249751,5730883243868160-5647262914969600,PT. Sekawan Triasa,107.786855343729,,,Cinanjung,,,,
343,CC010343,true,,,-6.93961045,5028720884580352-6436095768133632,CV. Analysa,107.6295311,,,Jl. Kuningan,,,,
344,CC010344,true,,,-6.3044348,6306970512392192-5744020558970880,PT. Eljindo Kontruksi Abadi,106.8456296,,,Jl. TB Simatupang,,,,
345,CC010345,true,,,-6.899645,5943842352136192-5653852602761216,Pasar Cihaurgeulis,107.62811,,,Jl. Suci,,,,
346,CC010346,true,Bandung,,-6.9322784,new34,Kriyasa Abdi Nusantara PT,107.6648379,,,Jalan Sanggar Kencana XXIII No. 23 Blok 27, RT 02,/ RW 02, Jatisari, Kecamatan Buah Batu
347,CC010347,true,Bandung,,-6.92577140214991,5429837242040320-5108371824836608,Bp. Setiawan,107.719231225008,,,Jl. Cipadung, Cibiru,,,
348,CC010348,true,,,-6.91996942,4902144138280960-6309519021834240,Bp. Robert,107.59730237,,,Jl. Sudirman - Bdg,,,,
349,CC010349,true,,,-6.96009833333333,4857144289525760-5725637813731328,PT. Pulau Intan,107.638625,,,Jl. Buah Batu,,,,
