no,locationCode,nickname
612,5118657298432000-5681607251853312,Sona
613,5113464414535680-5676414367956992,Sona
614,5111780653137920-5674730606559232,Sona
615,5673693908828160-6225309443555328,Sona
616,5687989137047552-6279374458322944,Sona
617,6329789891739648-6483468116557824,Sona
618,5932685805486080-4806785898643456,Sona
619,5120748410634240-5683698364055552,Sona
620,5682285990903808-5706346397696000,Sona
621,5120214458957824-5683164412379136,Sona
622,5132666542227456-5695616495648768,Sona
623,5132824516493312-5695774469914624,Sona
624,5698727796801536-5739023179972608,Sona
625,4677197071646720-4801543891058688,Sona
626,5091459082485760-5674775770824704,Sona
627,5927443797901312-4801543891058688,Sona
628,5697699554787328-4731877374033920,Sona
629,5155803531051008-5718753484472320,Sona
630,5637776707944448-5674730606559232,Sona
631,6259902854987776-5134002948145152,Sona
632,5190710441541632-5753660394962944,Sona
633,5357568209715200-5639043186425856,Sona
634,5977377624555520-4851477717712896,Sona
635,5346685936992256-5909635890413568,Sona
636,5944355231629312-5718753484472320,Sona
637,5647201107705856-4816034741616640,Sona
638,5074307600351232-5712209028055040,Sona
639,5733913108414464-5116339760922624,Sona
640,6196194128691200-5070294221848576,Sona
641,6556026220314624-6274551243603968,Sona
642,5182683852308480-5745633805729792,Sona
643,5735180660637696-5434150697828352,Sona
644,5649610047488000-5545071617245184,Sona
645,new39,Sona
646,6731631461138432-5605731554295808,Sona
647,4794618256293888-5695616495648768,Sona
648,6560050604670976-5434150697828352,Sona
649,5184225074479104-5054453711372288,Sona
650,5750062185447424-5116339760922624,Sona
651,5907007940853760-6610695382630400,Sona
652,6312871076036608-5094474753507328,Sona
653,5089566142758912-5767466600890368,Sona
654,5186070702456832-5749020655878144,Sona
655,5094196687929344-5685441885896704,Sona
656,5172816567599104-5169775730753536,Sona
657,5246003850510336-5120670262362112,Sona
658,4871962597785600-6313893177589760,Rolland
659,4695870683480064-5751644511797248,Rolland
660,6236259496230912-4813110271541248,Rolland
661,5382903584260096-6208190140121088,Rolland
662,5845835426299904-6129109994307584,Rolland
663,6220374660349952-5094474753507328,Rolland
664,5079280467836928-5174276554489856,Rolland
665,6471097033687040-6066313545908224,Rolland
666,5785272226676736-5268673560313856,Rolland
667,5650665401483264-4513378731032576,Rolland
668,5918732530483200-4792832623640576,Rolland
669,6496781877641216-5370881970798592,Rolland
670,5938494245437440-5893787930853376,Rolland
671,6048798501502976-4922898594660352,Rolland
672,5979006289575936-5683363021062144,Rolland
673,5920518163136512-5695616495648768,Rolland
674,5686306919153664-5721036024709120,Rolland
675,5115141767036928-5669798138609664,Rolland
676,6256280586944512-5130380680101888,Rolland
677,5647476354711552-5744357932007424,Rolland
